"","status","duration","credit_history","purpose","amount","savings","employment_duration","installment_rate","personal_status_sex","other_debtors","present_residence","property","age","other_installment_plans","housing","number_credits","job","people_liable","telephone","foreign_worker","credit_risk"
"781","0 <= ... < 200 DM",39,"critical account/other credits existing","domestic appliances",4933,"... < 100 DM","4 <= ... < 7 years",2,"male : single","guarantor",2,"real estate",25,"none","own",2,"skilled employee/official",1,"no","yes",0
"782","no checking account",24,"critical account/other credits existing","car (new)",1940,"... >= 1000 DM","... >= 7 years",4,"male : single","none",4,"real estate",60,"none","own",1,"skilled employee/official",1,"yes","yes",1
"783","0 <= ... < 200 DM",12,"no credits taken/all credits paid back duly","business",1410,"... < 100 DM","1 <= ... < 4 years",2,"male : single","none",2,"real estate",31,"none","own",1,"unskilled - resident",1,"yes","yes",1
"784","0 <= ... < 200 DM",12,"existing credits paid back duly till now","car (new)",836,"100 <= ... < 500 DM","... < 1 year",4,"female : divorced/separated/married","none",2,"building society savings agreement/life insurance",23,"bank","own",1,"unskilled - resident",1,"no","yes",0
"785","0 <= ... < 200 DM",20,"existing credits paid back duly till now","car (used)",6468,"unknown/no savings account","unemployed",1,"male : divorced/separated","none",4,"real estate",60,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
"786","0 <= ... < 200 DM",18,"existing credits paid back duly till now","others",1941,"... >= 1000 DM","1 <= ... < 4 years",4,"male : single","none",2,"building society savings agreement/life insurance",35,"none","own",1,"unskilled - resident",1,"yes","yes",1
"787","no checking account",22,"existing credits paid back duly till now","domestic appliances",2675,"500 <= ... < 1000 DM","... >= 7 years",3,"male : single","none",4,"car or other",40,"none","own",1,"skilled employee/official",1,"no","yes",1
"788","no checking account",48,"critical account/other credits existing","car (used)",2751,"unknown/no savings account","... >= 7 years",4,"male : single","none",3,"car or other",38,"none","own",2,"skilled employee/official",2,"yes","yes",1
"789","0 <= ... < 200 DM",48,"delay in paying off in the past","retraining",6224,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"unknown/no property",50,"none","for free",1,"skilled employee/official",1,"no","yes",0
"790","... < 100 DM",40,"critical account/other credits existing","retraining",5998,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",3,"unknown/no property",27,"bank","own",1,"skilled employee/official",1,"yes","yes",0
"791","0 <= ... < 200 DM",21,"existing credits paid back duly till now","others",1188,"... < 100 DM","... >= 7 years",2,"female : divorced/separated/married","none",4,"building society savings agreement/life insurance",39,"none","own",1,"skilled employee/official",2,"no","yes",0
"792","no checking account",24,"existing credits paid back duly till now","car (used)",6313,"unknown/no savings account","... >= 7 years",3,"male : single","none",4,"car or other",41,"none","own",1,"management/self-employed/highly qualified employee/officer",2,"yes","yes",1
"793","no checking account",6,"critical account/other credits existing",NA,1221,"unknown/no savings account","1 <= ... < 4 years",1,"male : married/widowed","none",2,"building society savings agreement/life insurance",27,"none","own",2,"skilled employee/official",1,"no","yes",1
"794","... >= 200 DM / salary for at least 1 year",24,"existing credits paid back duly till now","radio/television",2892,"... < 100 DM","... >= 7 years",3,"male : divorced/separated","none",4,"unknown/no property",51,"none","for free",1,"skilled employee/official",1,"no","yes",1
"795","no checking account",24,"existing credits paid back duly till now","radio/television",3062,"500 <= ... < 1000 DM","... >= 7 years",4,"male : single","none",3,"unknown/no property",32,"none","rent",1,"skilled employee/official",1,"yes","yes",1
"796","no checking account",9,"existing credits paid back duly till now",NA,2301,"100 <= ... < 500 DM","... < 1 year",2,"female : divorced/separated/married","none",4,"building society savings agreement/life insurance",22,"none","rent",1,"skilled employee/official",1,"no","yes",1
"797","... < 100 DM",18,"existing credits paid back duly till now","car (used)",7511,"unknown/no savings account","... >= 7 years",1,"male : single","none",4,"building society savings agreement/life insurance",51,"none","for free",1,"skilled employee/official",2,"yes","yes",0
"798","no checking account",12,"critical account/other credits existing","radio/television",1258,"... < 100 DM","... < 1 year",2,"female : divorced/separated/married","none",4,"building society savings agreement/life insurance",22,"none","rent",2,"unskilled - resident",1,"no","yes",1
"799","no checking account",24,"delay in paying off in the past","car (new)",717,"unknown/no savings account","... >= 7 years",4,"male : married/widowed","none",4,"car or other",54,"none","own",2,"skilled employee/official",1,"yes","yes",1
"800","0 <= ... < 200 DM",9,"existing credits paid back duly till now","car (new)",1549,"unknown/no savings account","... < 1 year",4,"male : single","none",2,"real estate",35,"none","own",1,"unemployed/unskilled - non-resident",1,"no","yes",1
"801","no checking account",24,"critical account/other credits existing","retraining",1597,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"unknown/no property",54,"none","for free",2,"skilled employee/official",2,"no","yes",1
"802","0 <= ... < 200 DM",18,"critical account/other credits existing","domestic appliances",1795,"... < 100 DM","... >= 7 years",3,"female : divorced/separated/married","guarantor",4,"real estate",48,"bank","rent",2,"unskilled - resident",1,"yes","yes",1
"803","... < 100 DM",20,"critical account/other credits existing","radio/television",4272,"... < 100 DM","... >= 7 years",1,"female : divorced/separated/married","none",4,"building society savings agreement/life insurance",24,"none",NA,2,"skilled employee/official",1,"no","yes",1
"804","no checking account",12,"critical account/other credits existing","domestic appliances",976,"unknown/no savings account","... >= 7 years",4,"male : single","none",4,"car or other",35,"none","own",2,"skilled employee/official",1,"no","yes",1
"805","0 <= ... < 200 DM",12,"existing credits paid back duly till now","car (new)",NA,"unknown/no savings account","unemployed",1,"female : divorced/separated/married","none",2,"real estate",24,"none","rent",1,"unemployed/unskilled - non-resident",1,"no","yes",1
"806","... < 100 DM",36,"existing credits paid back duly till now","car (new)",9271,"... < 100 DM","4 <= ... < 7 years",2,"male : single","none",1,"car or other",24,"none","own",1,"skilled employee/official",1,"yes","yes",0
"807","0 <= ... < 200 DM",6,"existing credits paid back duly till now","domestic appliances",590,"... < 100 DM","... < 1 year",3,"male : married/widowed","none",3,"real estate",26,"none","own",1,"unskilled - resident",1,"no","no",1
"808","no checking account",12,"critical account/other credits existing","domestic appliances",930,"unknown/no savings account","... >= 7 years",4,"male : single","none",4,"real estate",65,"none","own",4,"skilled employee/official",1,"no","yes",1
"809","0 <= ... < 200 DM",42,"all credits at this bank paid back duly","car (used)",9283,"... < 100 DM","unemployed",1,"male : single","none",2,"unknown/no property",55,"bank","for free",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
"810","0 <= ... < 200 DM",15,"no credits taken/all credits paid back duly","car (new)",1778,"... < 100 DM","... < 1 year",2,"female : divorced/separated/married","none",1,"real estate",26,"none","rent",2,"unemployed/unskilled - non-resident",1,"no","yes",0
"811","0 <= ... < 200 DM",8,"existing credits paid back duly till now","others",907,"... < 100 DM","... < 1 year",3,"male : married/widowed","none",2,"real estate",26,"none","own",1,"skilled employee/official",1,"yes","yes",1
"812","0 <= ... < 200 DM",6,"existing credits paid back duly till now","domestic appliances",484,"... < 100 DM","4 <= ... < 7 years",3,"male : married/widowed","guarantor",3,"real estate",28,"bank","own",1,"unskilled - resident",1,"no","yes",1
"813","... < 100 DM",36,"critical account/other credits existing",NA,9629,"... < 100 DM","4 <= ... < 7 years",4,"male : single","none",4,"car or other",24,"none","own",2,"skilled employee/official",1,"yes","yes",0
"814","... < 100 DM",48,"existing credits paid back duly till now","repairs",3051,"... < 100 DM","1 <= ... < 4 years",3,"male : single","none",4,"car or other",54,"none","own",1,"skilled employee/official",1,"no","yes",0
"815","... < 100 DM",48,"existing credits paid back duly till now","car (new)",3931,"... < 100 DM","4 <= ... < 7 years",4,"male : single","none",4,"unknown/no property",46,"none","for free",1,"skilled employee/official",2,"no","yes",0
"816","0 <= ... < 200 DM",36,"delay in paying off in the past","car (new)",7432,"... < 100 DM","1 <= ... < 4 years",2,"female : divorced/separated/married","none",2,"building society savings agreement/life insurance",54,"none","rent",1,"skilled employee/official",1,"no","yes",1
"817","no checking account",6,"existing credits paid back duly till now",NA,NA,"500 <= ... < 1000 DM","1 <= ... < 4 years",1,"male : divorced/separated","none",4,"real estate",62,"none","own",1,"skilled employee/official",1,"no","yes",1
"818","no checking account",6,"critical account/other credits existing","domestic appliances",1554,"... < 100 DM","4 <= ... < 7 years",1,"female : divorced/separated/married","none",2,"car or other",24,"none","rent",2,"skilled employee/official",1,"yes","yes",1
"819","... < 100 DM",36,"existing credits paid back duly till now","furniture/equipment",15857,"... < 100 DM","unemployed",2,"male : divorced/separated","co-applicant",3,"car or other",43,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"no","yes",1
"820","... < 100 DM",18,"existing credits paid back duly till now","domestic appliances",1345,"... < 100 DM","1 <= ... < 4 years",4,"male : married/widowed","none",3,"real estate",26,"bank","own",1,"skilled employee/official",1,"no","yes",0
"821","no checking account",12,"existing credits paid back duly till now","car (new)",1101,"... < 100 DM","1 <= ... < 4 years",3,"male : married/widowed","none",2,"real estate",27,"none","own",2,"skilled employee/official",1,"yes","yes",1
"822","... >= 200 DM / salary for at least 1 year",12,"existing credits paid back duly till now","domestic appliances",3016,"... < 100 DM","1 <= ... < 4 years",3,"male : married/widowed","none",1,"car or other",24,"none","own",1,"skilled employee/official",1,"no","yes",1
"823","... < 100 DM",36,"existing credits paid back duly till now","radio/television",2712,"... < 100 DM","... >= 7 years",2,"male : single","none",2,"building society savings agreement/life insurance",41,"bank","own",1,"skilled employee/official",2,"no","yes",0
"824","... < 100 DM",8,"critical account/other credits existing","car (new)",731,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"real estate",47,"none","own",2,"unskilled - resident",1,"no","yes",1
"825","no checking account",18,"critical account/other credits existing","radio/television",3780,"... < 100 DM","... < 1 year",3,"male : divorced/separated","none",2,"car or other",35,"none","own",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
"826","... < 100 DM",21,"critical account/other credits existing","car (new)",NA,"... < 100 DM","... >= 7 years",4,"male : married/widowed","none",3,"car or other",30,"none","own",2,"skilled employee/official",1,"yes","yes",1
"827","... < 100 DM",18,"critical account/other credits existing","car (new)",3966,"... < 100 DM","... >= 7 years",1,"female : divorced/separated/married","none",4,"real estate",33,"bank","rent",3,"skilled employee/official",1,"yes","yes",0
"828","no checking account",18,"no credits taken/all credits paid back duly","others",4165,"... < 100 DM","1 <= ... < 4 years",2,"male : single","none",2,"car or other",36,"stores","own",2,"skilled employee/official",2,"no","yes",0
"829","... < 100 DM",36,"existing credits paid back duly till now","car (used)",8335,"unknown/no savings account","... >= 7 years",3,"male : single","none",4,"unknown/no property",47,"none","for free",1,"skilled employee/official",1,"no","yes",0
"830","0 <= ... < 200 DM",48,"delay in paying off in the past","others",6681,"unknown/no savings account","1 <= ... < 4 years",4,"male : single","none",4,"unknown/no property",38,"none","for free",1,"skilled employee/official",2,"yes","yes",1
"831","no checking account",24,"delay in paying off in the past","others",2375,"500 <= ... < 1000 DM","1 <= ... < 4 years",4,"male : single","none",2,"car or other",44,"none","own",2,"skilled employee/official",2,"yes","yes",1
"832","... < 100 DM",18,"existing credits paid back duly till now","car (new)",1216,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",3,"car or other",23,"none","rent",1,"skilled employee/official",1,"yes","yes",0
"833","... < 100 DM",45,"no credits taken/all credits paid back duly","others",11816,"... < 100 DM","... >= 7 years",2,"male : single","none",4,"car or other",29,"none","rent",2,"skilled employee/official",1,"no","yes",0
"834","0 <= ... < 200 DM",24,"existing credits paid back duly till now","domestic appliances",5084,"unknown/no savings account","... >= 7 years",2,"female : divorced/separated/married","none",4,"car or other",42,"none","own",1,"skilled employee/official",1,"yes","yes",1
"835","... >= 200 DM / salary for at least 1 year",15,"existing credits paid back duly till now","domestic appliances",2327,"... < 100 DM","... < 1 year",2,"female : divorced/separated/married","none",3,"real estate",25,"none","own",1,"unskilled - resident",1,"no","yes",0
"836","... < 100 DM",12,"no credits taken/all credits paid back duly","car (new)",1082,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",4,"car or other",48,"bank","own",2,"skilled employee/official",1,"no","yes",0
"837","no checking account",12,"existing credits paid back duly till now","domestic appliances",886,"unknown/no savings account","1 <= ... < 4 years",4,"female : divorced/separated/married","none",2,"car or other",21,"none","own",1,"skilled employee/official",1,"no","yes",1
"838","no checking account",4,"existing credits paid back duly till now","radio/television",601,"... < 100 DM","... < 1 year",1,"female : divorced/separated/married","none",3,"real estate",23,"none","rent",1,"unskilled - resident",2,"no","yes",1
"839","... < 100 DM",24,"critical account/other credits existing","car (used)",2957,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"building society savings agreement/life insurance",63,"none","own",2,"skilled employee/official",1,"yes","yes",1
"840","no checking account",24,"critical account/other credits existing","domestic appliances",2611,"... < 100 DM","... >= 7 years",4,"male : married/widowed","co-applicant",3,"real estate",46,"none","own",2,"skilled employee/official",1,"no","yes",1
"841","... < 100 DM",36,"existing credits paid back duly till now","radio/television",5179,"... < 100 DM","4 <= ... < 7 years",4,"male : single","none",2,"building society savings agreement/life insurance",29,"none","own",1,"skilled employee/official",1,"no","yes",0
"842","no checking account",21,"delay in paying off in the past","car (used)",2993,"... < 100 DM","1 <= ... < 4 years",3,"male : single","none",2,"real estate",28,"stores","own",2,"unskilled - resident",1,"no","yes",1
"843","no checking account",18,"existing credits paid back duly till now","education",1943,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",4,"real estate",23,"none","own",1,"skilled employee/official",1,"no","yes",0
"844","no checking account",24,"all credits at this bank paid back duly","others",NA,"... < 100 DM","4 <= ... < 7 years",4,"male : single","none",4,"car or other",50,"bank","own",1,"skilled employee/official",1,"yes","yes",1
"845","no checking account",18,"existing credits paid back duly till now","radio/television",3422,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"building society savings agreement/life insurance",47,"bank","own",3,"skilled employee/official",2,"yes","yes",1
"846","0 <= ... < 200 DM",21,"existing credits paid back duly till now","radio/television",3976,"unknown/no savings account","4 <= ... < 7 years",2,"male : single","none",3,"car or other",35,"none","own",1,"skilled employee/official",1,"yes","yes",1
"847","no checking account",18,"existing credits paid back duly till now","car (new)",6761,"unknown/no savings account","1 <= ... < 4 years",2,"male : single","none",4,"car or other",68,"none","rent",2,"skilled employee/official",1,"no","yes",0
"848","no checking account",24,"existing credits paid back duly till now","car (new)",1249,"... < 100 DM","... < 1 year",4,"male : married/widowed","none",2,"real estate",28,"none","own",1,"skilled employee/official",1,"no","yes",1
"849","... < 100 DM",9,"existing credits paid back duly till now","domestic appliances",1364,"... < 100 DM","4 <= ... < 7 years",3,"male : single","none",4,"real estate",59,"none","own",1,"skilled employee/official",1,"no","yes",1
"850","... < 100 DM",12,"existing credits paid back duly till now","domestic appliances",709,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"real estate",57,"stores","own",1,"unskilled - resident",1,"no","yes",0
"851","... < 100 DM",20,"critical account/other credits existing","car (new)",2235,"... < 100 DM","1 <= ... < 4 years",4,"male : married/widowed","guarantor",2,"building society savings agreement/life insurance",33,"bank","rent",2,"skilled employee/official",1,"no","no",0
"852","no checking account",24,"critical account/other credits existing","car (used)",4042,"unknown/no savings account","4 <= ... < 7 years",3,"male : single","none",4,"building society savings agreement/life insurance",43,"none","own",2,"skilled employee/official",1,"yes","yes",1
"853","no checking account",15,"critical account/other credits existing",NA,1471,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",4,"unknown/no property",35,"none","for free",2,"skilled employee/official",1,"yes","yes",1
"854","... < 100 DM",18,"all credits at this bank paid back duly","car (new)",1442,"... < 100 DM","4 <= ... < 7 years",4,"male : single","none",4,"unknown/no property",32,"none","for free",2,"unskilled - resident",2,"no","yes",0
"855","no checking account",36,"delay in paying off in the past","car (new)",10875,"... < 100 DM","... >= 7 years",2,"male : single","none",2,"car or other",45,"none","own",2,"skilled employee/official",2,"yes","yes",1
"856","no checking account",24,"existing credits paid back duly till now","car (new)",1474,"100 <= ... < 500 DM","... < 1 year",4,"male : married/widowed","none",3,"real estate",33,"none","own",1,"skilled employee/official",1,"yes","yes",1
"857","no checking account",10,"existing credits paid back duly till now","business",894,"unknown/no savings account","4 <= ... < 7 years",4,"female : divorced/separated/married","none",3,"building society savings agreement/life insurance",40,"none","own",1,"skilled employee/official",1,"yes","yes",1
"858","no checking account",15,"critical account/other credits existing","radio/television",3343,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",2,"unknown/no property",28,"none","for free",1,"skilled employee/official",1,"yes","yes",1
"859","... < 100 DM",15,"existing credits paid back duly till now","car (new)",3959,"... < 100 DM","1 <= ... < 4 years",3,"female : divorced/separated/married","none",2,"building society savings agreement/life insurance",29,"none","own",1,"skilled employee/official",1,"yes","yes",0
"860","no checking account",9,"existing credits paid back duly till now","car (new)",3577,"100 <= ... < 500 DM","1 <= ... < 4 years",1,"male : single","guarantor",2,"real estate",26,"none","rent",1,"skilled employee/official",2,"no","no",1
"861","no checking account",24,"critical account/other credits existing","car (used)",5804,"... >= 1000 DM","1 <= ... < 4 years",4,"male : single","none",2,"real estate",27,"none","own",2,"skilled employee/official",1,"no","yes",1
"862","no checking account",18,"delay in paying off in the past",NA,2169,"... < 100 DM","1 <= ... < 4 years",4,"male : married/widowed","none",2,"car or other",28,"none","own",1,"skilled employee/official",1,"yes","yes",0
"863","... < 100 DM",24,"existing credits paid back duly till now","domestic appliances",2439,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",4,"real estate",35,"none","own",1,"skilled employee/official",1,"yes","yes",0
"864","no checking account",27,"critical account/other credits existing","radio/television",4526,"... >= 1000 DM","... < 1 year",4,"male : single","none",2,"real estate",32,"stores","own",2,"unskilled - resident",2,"yes","yes",1
"865","no checking account",10,"existing credits paid back duly till now","radio/television",2210,"... < 100 DM","1 <= ... < 4 years",2,"male : single","none",2,"real estate",25,"bank","rent",1,"unskilled - resident",1,"no","yes",0
"866","no checking account",15,"existing credits paid back duly till now","radio/television",2221,"500 <= ... < 1000 DM","1 <= ... < 4 years",2,"female : divorced/separated/married","none",4,"car or other",20,"none","rent",1,"skilled employee/official",1,"no","yes",1
"867","... < 100 DM",18,"existing credits paid back duly till now","domestic appliances",2389,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",1,"car or other",27,"stores","own",1,"skilled employee/official",1,"no","yes",1
"868","no checking account",12,"critical account/other credits existing","radio/television",NA,"... < 100 DM","... >= 7 years",2,"male : single","none",4,"building society savings agreement/life insurance",42,"stores","own",1,"skilled employee/official",1,"no","yes",1
"869","no checking account",36,"existing credits paid back duly till now","others",7409,"unknown/no savings account","... >= 7 years",3,"male : single","none",2,"building society savings agreement/life insurance",37,"none","own",2,"skilled employee/official",1,"no","yes",1
"870","... < 100 DM",12,"existing credits paid back duly till now","radio/television",652,"... < 100 DM","... >= 7 years",4,"female : divorced/separated/married","none",4,"building society savings agreement/life insurance",24,"none","rent",1,"skilled employee/official",1,"no","yes",1
"871","no checking account",36,"delay in paying off in the past","radio/television",7678,"500 <= ... < 1000 DM","4 <= ... < 7 years",2,"female : divorced/separated/married","none",4,"car or other",40,"none","own",2,"skilled employee/official",1,"yes","yes",1
"872","... >= 200 DM / salary for at least 1 year",6,"critical account/other credits existing","car (new)",1343,"... < 100 DM","... >= 7 years",1,"male : single","none",4,"real estate",46,"none","own",2,"skilled employee/official",2,"no","no",1
"873","... < 100 DM",24,"critical account/other credits existing",NA,1382,"100 <= ... < 500 DM","4 <= ... < 7 years",4,"male : single","none",1,"real estate",26,"none","own",2,"skilled employee/official",1,"yes","yes",1
"874","no checking account",15,"existing credits paid back duly till now","repairs",874,"unknown/no savings account","... < 1 year",4,"female : divorced/separated/married","none",1,"real estate",24,"none","own",1,"skilled employee/official",1,"no","yes",1
"875","... < 100 DM",12,"existing credits paid back duly till now","radio/television",3590,"... < 100 DM","1 <= ... < 4 years",2,"male : single","co-applicant",2,"building society savings agreement/life insurance",29,"none","own",1,"unskilled - resident",2,"no","yes",1
"876","0 <= ... < 200 DM",11,"critical account/other credits existing","car (new)",1322,"... >= 1000 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","none",4,"car or other",40,"none","own",2,"skilled employee/official",1,"no","yes",1
"877","... < 100 DM",18,"all credits at this bank paid back duly","domestic appliances",1940,"... < 100 DM","... < 1 year",3,"male : single","co-applicant",4,"unknown/no property",36,"bank",NA,1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
"878","no checking account",36,"existing credits paid back duly till now","domestic appliances",3595,"... < 100 DM","... >= 7 years",4,"male : single","none",2,"car or other",28,"none","own",1,"skilled employee/official",1,"no","yes",1
"879","... < 100 DM",9,"existing credits paid back duly till now","car (new)",1422,"... < 100 DM","... < 1 year",3,"male : single","none",2,"unknown/no property",27,"none","for free",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",0
"880","no checking account",30,"critical account/other credits existing","domestic appliances",6742,"unknown/no savings account","4 <= ... < 7 years",2,"male : single","none",3,"building society savings agreement/life insurance",36,"none","own",2,"skilled employee/official",1,"no","yes",1
"881","no checking account",24,"existing credits paid back duly till now","car (used)",7814,"... < 100 DM","4 <= ... < 7 years",3,"male : single","none",3,"car or other",38,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
"882","no checking account",24,"existing credits paid back duly till now","car (used)",9277,"unknown/no savings account","1 <= ... < 4 years",2,"male : divorced/separated","none",4,"unknown/no property",48,"none","for free",1,"skilled employee/official",1,"yes","yes",1
"883","0 <= ... < 200 DM",30,"critical account/other credits existing","car (new)",2181,"unknown/no savings account","... >= 7 years",4,"male : single","none",4,"real estate",36,"none","own",2,"skilled employee/official",1,"no","yes",1
"884","no checking account",18,"critical account/other credits existing","domestic appliances",1098,"... < 100 DM","unemployed",4,"female : divorced/separated/married","none",4,"car or other",65,"none","own",2,"unemployed/unskilled - non-resident",1,"no","yes",1
"885","0 <= ... < 200 DM",24,"existing credits paid back duly till now","radio/television",4057,"... < 100 DM","4 <= ... < 7 years",3,"male : divorced/separated","none",3,"car or other",43,"none","own",1,"skilled employee/official",1,"yes","yes",0
"886","... < 100 DM",12,"existing credits paid back duly till now",NA,795,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",4,"building society savings agreement/life insurance",53,"none","own",1,"skilled employee/official",1,"no","yes",0
"887","0 <= ... < 200 DM",24,"critical account/other credits existing","others",2825,"unknown/no savings account","4 <= ... < 7 years",4,"male : single","none",3,"unknown/no property",34,"none","own",2,"skilled employee/official",2,"yes","yes",1
"888","0 <= ... < 200 DM",48,"existing credits paid back duly till now","others",15672,"... < 100 DM","1 <= ... < 4 years",2,"male : single","none",2,"car or other",23,"none","own",1,"skilled employee/official",1,"yes","yes",0
"889","no checking account",36,"critical account/other credits existing","car (new)",6614,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"car or other",34,"none","own",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
"890","no checking account",28,"all credits at this bank paid back duly","car (used)",7824,"unknown/no savings account","... < 1 year",3,"male : single","guarantor",4,"real estate",40,"bank","rent",2,"skilled employee/official",2,"yes","yes",1
"891","... < 100 DM",27,"critical account/other credits existing","others",2442,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"car or other",43,"stores","own",4,"management/self-employed/highly qualified employee/officer",2,"yes","yes",1
"892","no checking account",15,"critical account/other credits existing","domestic appliances",1829,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"car or other",46,"none","own",2,"skilled employee/official",1,"yes","yes",1
"893","... < 100 DM",12,"critical account/other credits existing","car (new)",2171,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",4,"building society savings agreement/life insurance",38,"bank","own",2,"unskilled - resident",1,"no","no",1
"894","0 <= ... < 200 DM",36,"critical account/other credits existing","car (used)",5800,"... < 100 DM","1 <= ... < 4 years",3,"male : single","none",4,"car or other",34,"none","own",2,"skilled employee/official",1,"yes","yes",1
"895","no checking account",18,"critical account/other credits existing","domestic appliances",1169,"unknown/no savings account","1 <= ... < 4 years",4,"male : single","none",3,"building society savings agreement/life insurance",29,"none","own",2,"skilled employee/official",1,"yes","yes",1
"896","no checking account",36,"delay in paying off in the past","car (used)",8947,"unknown/no savings account","4 <= ... < 7 years",3,"male : single","none",2,"car or other",31,"stores","own",1,"management/self-employed/highly qualified employee/officer",2,"yes","yes",1
"897","... < 100 DM",21,"existing credits paid back duly till now",NA,2606,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",4,"building society savings agreement/life insurance",28,"none","rent",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
"898","no checking account",12,"critical account/other credits existing","radio/television",1592,"... >= 1000 DM","4 <= ... < 7 years",3,"female : divorced/separated/married","none",2,"building society savings agreement/life insurance",35,"none","own",1,"skilled employee/official",1,"no","no",1
"899","no checking account",15,"existing credits paid back duly till now","radio/television",2186,"unknown/no savings account","4 <= ... < 7 years",1,"female : divorced/separated/married","none",4,"real estate",33,"bank","rent",1,"unskilled - resident",1,"no","yes",1
"900","... < 100 DM",18,"existing credits paid back duly till now","radio/television",4153,"... < 100 DM","1 <= ... < 4 years",2,"male : single","co-applicant",3,"car or other",42,"none","own",1,"skilled employee/official",1,"no","yes",0
"901","... < 100 DM",16,"critical account/other credits existing","car (new)",2625,"... < 100 DM","... >= 7 years",2,"male : single","guarantor",4,"building society savings agreement/life insurance",43,"bank","rent",1,"skilled employee/official",1,"yes","yes",0
"902","no checking account",20,"critical account/other credits existing",NA,3485,"unknown/no savings account","... < 1 year",2,"male : divorced/separated","none",4,"real estate",44,"none","own",2,"skilled employee/official",1,"yes","yes",1
"903","no checking account",36,"critical account/other credits existing","car (used)",10477,"unknown/no savings account","... >= 7 years",2,"male : single","none",4,"unknown/no property",42,"none","for free",2,"skilled employee/official",1,"no","yes",1
"904","no checking account",15,"existing credits paid back duly till now","domestic appliances",1386,"unknown/no savings account","1 <= ... < 4 years",4,"male : married/widowed","none",2,"real estate",40,"none","rent",1,"skilled employee/official",1,"yes","yes",1
"905","no checking account",24,"existing credits paid back duly till now","domestic appliances",1278,"... < 100 DM","... >= 7 years",4,"male : single","none",1,"real estate",36,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
"906","... < 100 DM",12,"existing credits paid back duly till now","domestic appliances",1107,"... < 100 DM","1 <= ... < 4 years",2,"male : single","none",2,"real estate",20,"none","rent",1,"management/self-employed/highly qualified employee/officer",2,"yes","yes",1
"907","... < 100 DM",21,"existing credits paid back duly till now","car (new)",3763,"unknown/no savings account","4 <= ... < 7 years",2,"male : single","co-applicant",2,"real estate",24,"none","own",1,"unskilled - resident",1,"no","no",1
"908","0 <= ... < 200 DM",36,"existing credits paid back duly till now","retraining",3711,"unknown/no savings account","1 <= ... < 4 years",2,"male : married/widowed","none",2,"car or other",27,"none","own",1,"skilled employee/official",1,"no","yes",1
"909","no checking account",15,"delay in paying off in the past","car (used)",3594,"... < 100 DM","... < 1 year",1,"female : divorced/separated/married","none",2,"building society savings agreement/life insurance",46,"none","own",2,"unskilled - resident",1,"no","yes",1
"910","0 <= ... < 200 DM",9,"existing credits paid back duly till now",NA,3195,"unknown/no savings account","1 <= ... < 4 years",1,"female : divorced/separated/married","none",2,"real estate",33,"none","own",1,"unskilled - resident",1,"no","yes",1
"911","no checking account",36,"delay in paying off in the past","domestic appliances",4454,"... < 100 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","none",4,"real estate",34,"none","own",2,"skilled employee/official",1,"no","yes",1
"912","0 <= ... < 200 DM",24,"critical account/other credits existing","radio/television",4736,"... < 100 DM","... < 1 year",2,"female : divorced/separated/married","none",4,"car or other",25,"bank","own",1,"unskilled - resident",1,"no","yes",0
"913","0 <= ... < 200 DM",30,"existing credits paid back duly till now",NA,2991,"unknown/no savings account","... >= 7 years",2,"female : divorced/separated/married","none",4,"car or other",25,"none",NA,1,"skilled employee/official",1,"no","yes",1
